_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject,Complaint Receipt Year,Complaint Receipt Month,Initial Response Days,Justified
36,59/19,Email,2019-01-15 00:00:00,Unknown,2019-04-11 13:05:00,משרד הרווחה והשירותים החברתיים,2019-10-23 12:12:36,Justified,194.0,Treatment Completed,Unspecified,Unspecified,2019,4,86,1
37,61/19,Online Form,2019-01-28 00:00:00,No Response,2019-04-14 00:00:00,משרד הבריאות,2019-07-18 10:38:53,Justified,95.0,Treatment Completed,Unspecified,Unspecified,2019,4,76,1
38,63/19,Online Form,2019-01-27 00:00:00,No Response,2019-04-15 00:00:00,משרד החינוך,2019-08-13 09:53:26,Justified,120.0,Treatment Completed,Unspecified,Unspecified,2019,4,78,1
39,62/19,Online Form,2018-04-16 00:00:00,No Response,2019-04-15 00:00:00,רשות האוכלוסין וההגירה,2019-06-23 09:15:25,Justified,69.0,Treatment Completed,Unspecified,Unspecified,2019,4,364,1
40,64/19,Email,2019-01-20 00:00:00,No Response,2019-04-18 15:08:00,משרד הבריאות,2019-06-18 11:31:41,Justified,60.0,Treatment Completed,Unspecified,Unspecified,2019,4,88,1
41,65/19,Online Form,2019-01-21 00:00:00,No Response,2019-04-26 00:00:00,משרד ראש הממשלה,2019-07-31 09:49:16,Justified,96.0,Treatment Completed,Unspecified,Unspecified,2019,4,95,1
42,66/19,Online Form,2018-12-26 00:00:00,No Response,2019-05-01 00:00:00,משרד החקלאות ופיתוח הכפר,2019-06-18 09:50:29,Justified,48.0,Treatment Completed,Unspecified,Unspecified,2019,5,126,1
43,69/19,Online Form,2019-02-23 00:00:00,Unknown,2019-05-09 00:00:00,משרד החינוך,2019-09-05 09:00:49,Justified,119.0,Treatment Completed,Unspecified,Unspecified,2019,5,75,1
44,68/19,Online Form,2019-03-22 00:00:00,No Response,2019-05-09 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-05-29 14:25:52,Unjustified,20.0,Treatment Completed,Unspecified,Unspecified,2019,5,48,0
45,70/19,Email,2018-12-25 00:00:00,No Response,2019-05-12 09:37:00,משרד הרווחה והשירותים החברתיים,2019-07-11 14:59:01,Justified,60.0,Treatment Completed,Unspecified,Unspecified,2019,5,138,1
46,72/19,Online Form,2019-01-24 00:00:00,No Response,2019-05-14 00:00:00,משרד הרווחה והשירותים החברתיים,2019-07-17 08:46:57,Justified,64.0,Treatment Completed,Unspecified,Unspecified,2019,5,110,1
47,74/19,Online Form,2019-03-31 00:00:00,No Response,2019-05-16 00:00:00,משרד הבריאות,2019-09-19 10:26:24,Justified,126.0,Treatment Completed,Unspecified,Unspecified,2019,5,46,1
48,78/19,Online Form,2019-03-07 00:00:00,No Response,2019-05-20 00:00:00,המשרד לביטחון פנים,2019-09-12 14:08:39,Justified,115.0,Treatment Completed,Unspecified,Unspecified,2019,5,74,1
49,77/19,Online Form,2019-03-12 00:00:00,No Response,2019-05-20 00:00:00,המשרד לביטחון הפנים,2019-11-11 08:25:52,Justified,175.0,Treatment Completed,Unspecified,Unspecified,2019,5,69,1
50,81/19,Online Form,2019-02-05 00:00:00,No Response,2019-05-22 00:00:00,משרד הבריאות,2019-07-11 15:33:06,Justified,50.0,Treatment Completed,Unspecified,Unspecified,2019,5,106,1
51,80/19,Online Form,2019-04-12 00:00:00,No Response,2019-05-22 00:00:00,הנהלת בתי המשפט,2019-10-22 12:38:51,Unjustified,153.0,Treatment Completed,Unspecified,Unspecified,2019,5,40,0
52,84/19,Email,2018-12-30 00:00:00,Environmental Information,2019-05-23 15:00:00,המשרד להגנת הסביבה,2019-08-15 17:52:07,Justified,84.0,Treatment Completed,Unspecified,Unspecified,2019,5,144,1
53,86/19,Online Form,2019-02-05 00:00:00,No Response,2019-05-26 00:00:00,משרד הבריאות,2019-07-15 09:11:49,Justified,50.0,Treatment Completed,Unspecified,Unspecified,2019,5,110,1
54,88/19,Email,2018-12-23 00:00:00,No Response,2019-05-28 11:23:00,משרד ראש הממשלה,2020-01-01 11:08:52,Justified,217.0,Treatment Completed,Unspecified,Unspecified,2019,5,156,1
55,89/19,Online Form,2019-02-03 00:00:00,No Response,2019-05-29 00:00:00,רשות המים והביוב,2019-08-29 13:16:41,Treatment Discontinued,92.0,Treatment Completed,Unspecified,Unspecified,2019,5,115,0
56,91/19,Online Form,2019-03-20 00:00:00,No Response,2019-06-04 00:00:00,משרד הבריאות,2019-10-06 14:56:53,Treatment Discontinued,124.0,Treatment Completed,Unspecified,Unspecified,2019,6,76,0
57,93/19,Email,2019-05-23 00:00:00,Administrative Guidelines,2019-06-10 14:28:00,משרד המשפטים,2019-12-01 14:58:45,Unjustified,174.0,Treatment Completed,Unspecified,Unspecified,2019,6,18,0
58,94/19,Email,2019-05-16 00:00:00,No Response,2019-06-10 15:08:00,האפוטרופוס הכללי והכונס הרשמי,2019-07-18 12:20:14,Unjustified,37.0,Treatment Completed,Unspecified,Unspecified,2019,6,25,0
59,96/19,Online Form,2018-12-27 00:00:00,No Response,2019-06-12 00:00:00,משרד הבריאות,2019-10-22 13:01:45,Justified,132.0,Treatment Completed,Unspecified,Unspecified,2019,6,167,1
60,95/19,Email,2019-03-20 00:00:00,Unknown,2019-06-12 11:46:00,משרד הרווחה והשירותים החברתיים,2019-07-23 08:16:02,Justified,40.0,Treatment Completed,Unspecified,Unspecified,2019,6,84,1
61,98/19,Online Form,2019-01-22 00:00:00,No Response,2019-06-13 00:00:00,צבא הגנה לישראל,2019-08-12 11:30:07,Justified,60.0,Treatment Completed,Unspecified,Unspecified,2019,6,142,1
62,99/19,Online Form,2019-01-22 00:00:00,No Response,2019-06-13 00:00:00,צבא הגנה לישראל,2019-08-12 11:40:25,Justified,60.0,Treatment Completed,Unspecified,Unspecified,2019,6,142,1
63,97/19,Online Form,2018-08-06 00:00:00,No Response,2019-06-13 00:00:00,משרד החקלאות ופיתוח הכפר,2019-07-07 10:53:08,Justified,24.0,Treatment Completed,Unspecified,Unspecified,2019,6,311,1
64,100/19,Online Form,2019-01-22 00:00:00,No Response,2019-06-13 00:00:00,צבא הגנה לישראל,2019-07-09 09:36:40,Justified,26.0,Treatment Completed,Unspecified,Unspecified,2019,6,142,1
65,101/19,Email,2019-03-19 00:00:00,No Response,2019-06-16 10:23:00,משרד הבריאות,2019-07-31 08:17:37,Justified,44.0,Treatment Completed,Unspecified,Unspecified,2019,6,89,1
66,102/19,Email,2018-11-19 00:00:00,No Response,2019-06-16 14:49:00,משרד החינוך,2019-10-23 11:59:14,Justified,128.0,Treatment Completed,Unspecified,Unspecified,2019,6,209,1
67,104/19,Online Form,2019-03-20 00:00:00,No Response,2019-06-19 00:00:00,משרד הבריאות,2019-10-22 11:08:26,Justified,125.0,Treatment Completed,Unspecified,Unspecified,2019,6,91,1
68,103/19,Email,2018-02-28 00:00:00,Unknown,2019-06-19 10:03:00,משטרת ישראל,2019-06-27 10:53:07,Unjustified,8.0,Treatment Completed,Unspecified,Unspecified,2019,6,476,0
69,107/19,Online Form,2019-01-07 00:00:00,No Response,2019-06-22 00:00:00,משרד הביטחון,2019-07-08 16:27:21,Justified,16.0,Treatment Completed,Unspecified,Unspecified,2019,6,166,1
70,108/19,Online Form,2019-05-19 00:00:00,No Response,2019-06-24 00:00:00,משרד הבריאות,2019-07-31 08:30:08,Justified,37.0,Treatment Completed,Unspecified,Unspecified,2019,6,36,1
71,109/19,Email,2019-02-11 00:00:00,Unknown,2019-06-24 15:45:00,המשרד להגנת הסביבה,2019-08-13 09:44:35,Justified,49.0,Treatment Completed,Unspecified,Unspecified,2019,6,133,1
72,110/19,Email,2019-04-17 00:00:00,No Response,2019-06-25 13:43:00,צבא הגנה לישראל,2019-08-12 10:43:17,Unjustified,47.0,Treatment Completed,Unspecified,Unspecified,2019,6,69,0
73,111/19,Email,2019-04-24 00:00:00,Unknown,2019-06-27 08:34:00,משרד הבריאות,2019-11-07 12:19:59,Justified,133.0,Treatment Completed,Unspecified,Unspecified,2019,6,64,1
74,112/19,Online Form,2019-04-14 00:00:00,No Response,2019-07-01 00:00:00,משרד הבריאות,2019-07-17 08:40:19,Justified,16.0,Treatment Completed,Unspecified,Unspecified,2019,7,78,1
75,115/19,Online Form,2019-04-16 00:00:00,No Response,2019-07-02 00:00:00,המשרד להגנת הסביבה,2019-07-11 15:51:49,Justified,9.0,Treatment Completed,Unspecified,Unspecified,2019,7,77,1
76,116/19,Online Form,2019-05-22 00:00:00,No Response,2019-07-04 00:00:00,רשות האוכלוסין וההגירה,2019-07-29 15:26:13,Justified,25.0,Treatment Completed,Unspecified,Unspecified,2019,7,43,1
77,118/19,Online Form,2018-02-26 00:00:00,No Response,2019-07-09 00:00:00,משרד החקלאות ופיתוח הכפר,2019-07-29 15:29:19,Justified,20.0,Treatment Completed,Unspecified,Unspecified,2019,7,498,1
78,119/19,Online Form,2019-05-22 00:00:00,No Response,2019-07-09 00:00:00,משרד החקלאות ופיתוח הכפר,2019-11-06 09:07:22,Justified,120.0,Treatment Completed,Unspecified,Unspecified,2019,7,48,1
79,121/19,Email,2019-03-21 00:00:00,Unknown,2019-07-14 15:56:00,רשות האכיפה והגבייה,2019-07-24 08:32:33,Unjustified,9.0,Treatment Completed,Unspecified,Unspecified,2019,7,115,0
80,123/19,Email,2019-03-13 00:00:00,No Response,2019-07-16 16:24:00,צבא הגנה לישראל,2019-09-05 09:17:33,Justified,50.0,Treatment Completed,Unspecified,Unspecified,2019,7,125,1
81,124/19,Email,2019-07-04 00:00:00,Annual Report,2019-07-18 14:23:00,המשרד לביטחון הפנים,2019-12-25 11:02:47,Justified,159.0,Treatment Completed,Unspecified,Unspecified,2019,7,14,1
82,131/19,Online Form,2018-12-09 00:00:00,No Response,2019-07-21 00:00:00,משרד העלייה והקליטה,2019-09-05 11:09:11,Unjustified,46.0,Treatment Completed,Unspecified,Unspecified,2019,7,224,0
83,125/19,Email,2019-07-04 00:00:00,Annual Report,2019-07-21 09:09:00,רשות המים והביוב,2019-12-25 11:07:41,Justified,157.0,Treatment Completed,Unspecified,Unspecified,2019,7,17,1
84,126/19,Email,2019-07-04 00:00:00,Annual Report,2019-07-21 09:41:00,המשרד לנושאים אסטרטגיים והסברה,2019-09-12 14:33:58,Justified,53.0,Treatment Completed,Unspecified,Unspecified,2019,7,17,1
85,127/19,Email,2019-07-04 00:00:00,Unknown,2019-07-21 10:04:00,המשרד לשוויון חברתי,2019-11-06 12:48:42,Justified,108.0,Treatment Completed,Unspecified,Unspecified,2019,7,17,1
86,129/19,Email,2019-07-04 00:00:00,Annual Report,2019-07-21 10:20:00,משרד ראש הממשלה,2020-01-01 10:01:16,Justified,163.0,Treatment Completed,Unspecified,Unspecified,2019,7,17,1
87,128/19,Email,2019-07-04 00:00:00,Unknown,2019-07-21 10:20:00,הנהלת בתי הדין הרבניים,2019-09-15 11:26:13,Unjustified,56.0,Treatment Completed,Unspecified,Unspecified,2019,7,17,0
88,130/19,Email,2018-03-27 00:00:00,No Response,2019-07-21 11:47:00,משרד ראש הממשלה,2020-01-09 11:24:45,Justified,171.0,Treatment Completed,Unspecified,Unspecified,2019,7,481,1
89,132/19,Online Form,2018-07-29 00:00:00,No Response,2019-07-23 00:00:00,משרד הביטחון,2019-10-23 12:17:40,Justified,92.0,Treatment Completed,Unspecified,Unspecified,2019,7,359,1
90,133/19,Online Form,2018-12-04 00:00:00,No Response,2019-07-23 00:00:00,המשרד לביטחון הפנים,2020-01-08 11:49:51,Justified,169.0,Treatment Completed,Unspecified,Unspecified,2019,7,231,1
91,134/19,Online Form,2019-04-11 00:00:00,No Response,2019-07-24 00:00:00,רשות החברות הממשלתיות,2019-09-16 08:43:09,Justified,54.0,Treatment Completed,Unspecified,Unspecified,2019,7,104,1
92,136/19,Online Form,2019-07-21 00:00:00,No Response,2019-07-28 00:00:00,משרד הפנים,2019-09-11 10:42:38,Justified,45.0,Treatment Completed,Unspecified,Unspecified,2019,7,7,1
93,137/19,Online Form,2019-05-16 00:00:00,No Response,2019-07-30 00:00:00,האפוטרופוס הכללי והכונס הרשמי,2019-09-16 09:14:43,Justified,48.0,Treatment Completed,Unspecified,Unspecified,2019,7,75,1
94,138/19,Online Form,2019-04-01 00:00:00,No Response,2019-08-06 00:00:00,משרד המשפטים,2019-09-18 15:35:44,Unjustified,43.0,Treatment Completed,Unspecified,Unspecified,2019,8,127,0
95,150/19,Email,2019-05-02 00:00:00,No Response,2019-08-09 00:00:00,משרד הבריאות,2019-11-03 09:31:16,Justified,86.0,Treatment Completed,Unspecified,Unspecified,2019,8,99,1
96,139/19,Email,2019-05-18 00:00:00,No Response,2019-08-15 00:00:00,משרד האוצר,2019-09-22 12:34:14,Justified,38.0,Treatment Completed,Unspecified,Unspecified,2019,8,89,1
97,140/19,Email,2019-06-23 00:00:00,No Response,2019-08-18 14:04:00,רשות האכיפה והגבייה,2019-09-05 11:48:12,Unjustified,17.0,Treatment Completed,Unspecified,Unspecified,2019,8,56,0
98,141/19,Online Form,2019-06-16 00:00:00,No Response,2019-08-20 00:00:00,צבא הגנה לישראל,2019-11-18 08:02:49,Justified,90.0,Treatment Completed,Unspecified,Unspecified,2019,8,65,1
99,143/19,Online Form,2019-07-15 00:00:00,No Response,2019-08-25 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2019-11-12 07:51:05,Justified,79.0,Treatment Completed,Unspecified,Unspecified,2019,8,41,1
100,151/19,Email,2019-06-22 00:00:00,No Response,2019-08-25 00:00:00,משטרת ישראל,2019-11-17 13:25:34,Justified,84.0,Treatment Completed,Unspecified,Unspecified,2019,8,64,1
101,142/19,Online Form,2019-06-23 00:00:00,No Response,2019-08-25 00:00:00,הנהלת בתי המשפט,2019-10-29 11:20:01,Unjustified,65.0,Treatment Completed,Unspecified,Unspecified,2019,8,63,0
102,144/19,Online Form,2019-07-23 00:00:00,No Response,2019-08-26 00:00:00,משרד החינוך,2019-10-06 13:11:11,Unjustified,41.0,Treatment Completed,Unspecified,Unspecified,2019,8,34,0
103,145/19,Email,2019-04-07 00:00:00,Lack of Justification,2019-08-26 09:45:00,משרד החינוך,2019-10-29 11:31:00,Justified,64.0,Treatment Completed,Unspecified,Unspecified,2019,8,141,1
104,146/19,Online Form,2019-05-22 00:00:00,No Response,2019-08-27 00:00:00,רשות האוכלוסין וההגירה,2019-09-18 16:02:35,Justified,22.0,Treatment Completed,Unspecified,Unspecified,2019,8,97,1
105,147/19,Online Form,2019-05-28 00:00:00,No Response,2019-08-27 00:00:00,רשות האוכלוסין וההגירה,2019-10-10 08:48:05,Justified,44.0,Treatment Completed,Unspecified,Unspecified,2019,8,91,1
106,148/19,Email,2019-06-10 00:00:00,No Response,2019-08-28 12:16:00,משרד התחבורה והבטיחות בדרכים,2019-11-12 11:20:56,Justified,75.0,Treatment Completed,Unspecified,Unspecified,2019,8,79,1
107,164/19,Email,2019-06-17 00:00:00,Lack of Justification,2019-09-01 00:00:00,משטרת ישראל,2019-11-14 08:22:00,Justified,74.0,Treatment Completed,Unspecified,Unspecified,2019,9,76,1
108,149/19,Online Form,2019-08-01 00:00:00,No Response,2019-09-01 00:00:00,משרד המשפטים,2019-09-19 08:18:43,Unjustified,18.0,Treatment Completed,Unspecified,Unspecified,2019,9,31,0
109,153/19,Online Form,2019-07-28 00:00:00,No Response,2019-09-02 00:00:00,רשות האוכלוסין וההגירה,2019-11-19 11:15:58,Partially Justified,78.0,Treatment Completed,Unspecified,Unspecified,2019,9,36,0
110,154/19,Online Form,2019-07-28 00:00:00,No Response,2019-09-02 00:00:00,רשות האוכלוסין וההגירה,2019-09-22 13:42:00,Justified,20.0,Treatment Completed,Unspecified,Unspecified,2019,9,36,1
111,155/19,Online Form,2019-07-28 00:00:00,No Response,2019-09-02 00:00:00,רשות האוכלוסין וההגירה,2019-11-12 08:08:12,Justified,71.0,Treatment Completed,Unspecified,Unspecified,2019,9,36,1
112,156/19,Phone,2019-09-03 15:27:00,Unknown,2019-09-03 15:27:00,רשות התחרות,2019-09-03 15:36:53,Unjustified,0.0,Treatment Completed,Unspecified,Unspecified,2019,9,0,0
113,158/19,Online Form,2019-07-18 00:00:00,No Response,2019-09-04 00:00:00,משטרת ישראל,2019-11-05 08:12:02,Justified,62.0,Treatment Completed,Unspecified,Unspecified,2019,9,48,1
114,157/19,Online Form,2019-07-21 00:00:00,No Response,2019-09-04 00:00:00,צבא הגנה לישראל,2019-09-15 13:17:47,Unjustified,11.0,Treatment Completed,Unspecified,Unspecified,2019,9,45,0
115,160/19,Online Form,2018-11-07 00:00:00,No Response,2019-09-05 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2020-01-01 11:12:58,Justified,118.0,Treatment Completed,Unspecified,Unspecified,2019,9,302,1
116,159/19,Email,2019-07-05 03:00:00,No Response,2019-09-05 13:28:00,צבא הגנה לישראל,2020-01-01 10:53:12,Justified,117.0,Treatment Completed,Unspecified,Unspecified,2019,9,62,1
117,161/19,Online Form,2019-07-30 00:00:00,No Response,2019-09-08 00:00:00,משרד החינוך,2019-12-25 08:49:40,Justified,108.0,Treatment Completed,Unspecified,Unspecified,2019,9,40,1
118,163/19,Online Form,2019-05-30 00:00:00,No Response,2019-09-09 00:00:00,משרד המשפטים,2019-10-22 12:49:21,Justified,43.0,Treatment Completed,Unspecified,Unspecified,2019,9,102,1
119,165/19,Online Form,2019-08-11 00:00:00,No Response,2019-09-09 00:00:00,המשרד להגנת הסביבה,2020-01-12 11:10:24,Justified,125.0,Treatment Completed,Unspecified,Unspecified,2019,9,29,1
120,166/19,Online Form,2019-03-06 00:00:00,No Response,2019-09-10 00:00:00,הרשות להסדרת התיישבות הבדואים בנגב,2019-11-05 08:27:28,Justified,56.0,Treatment Completed,Unspecified,Unspecified,2019,9,188,1
121,170/19,Online Form,2019-06-18 00:00:00,No Response,2019-09-11 00:00:00,הנהלת בתי הדין הרבניים,2019-10-10 14:08:19,Justified,29.0,Treatment Completed,Unspecified,Unspecified,2019,9,85,1
122,167/19,Online Form,2019-06-10 00:00:00,No Response,2019-09-11 00:00:00,משרד הביטחון,2019-10-23 10:41:23,Justified,42.0,Treatment Completed,Unspecified,Unspecified,2019,9,93,1
123,169/19,Online Form,2019-09-11 00:00:00,Annual Report,2019-09-11 00:00:00,רשות שוק ההון הביטוח והחיסכון,2019-10-30 09:54:35,Justified,49.0,Treatment Completed,Unspecified,Unspecified,2019,9,0,1
124,168/19,Online Form,2019-06-12 00:00:00,No Response,2019-09-11 00:00:00,הרשות להסדרת התיישבות הבדואים בנגב,2019-11-05 08:31:10,Justified,55.0,Treatment Completed,Unspecified,Unspecified,2019,9,91,1
125,171/19,Online Form,2019-06-30 00:00:00,No Response,2019-09-16 00:00:00,הרבנות הראשית לישראל,2019-10-23 10:45:47,Unjustified,37.0,Treatment Completed,Unspecified,Unspecified,2019,9,78,0
126,172/19,Email,2019-07-23 00:00:00,Unknown,2019-09-18 11:32:00,משרד החינוך,2019-10-30 11:06:51,Justified,41.0,Treatment Completed,Unspecified,Unspecified,2019,9,57,1
127,175/19,Online Form,2019-05-15 00:00:00,No Response,2019-09-22 00:00:00,המשרד לביטחון הפנים,2019-11-12 08:22:15,Justified,51.0,Treatment Completed,Unspecified,Unspecified,2019,9,130,1
128,176/19,Email,2019-06-12 00:00:00,Lack of Justification,2019-09-22 14:10:00,משטרת ישראל,2019-10-24 08:36:23,Justified,31.0,Treatment Completed,Unspecified,Unspecified,2019,9,102,1
129,177/19,Email,2019-05-16 00:00:00,No Response,2019-09-23 15:08:00,משרד הרווחה והשירותים החברתיים,2020-02-17 12:07:55,Justified,146.0,Treatment Completed,Unspecified,Unspecified,2019,9,130,1
130,179/19,Email,2019-07-17 00:00:00,No Response,2019-09-26 10:00:00,משרד התחבורה והבטיחות בדרכים,2019-11-06 13:00:25,Justified,41.0,Treatment Completed,Unspecified,Unspecified,2019,9,71,1
131,180/19,Online Form,2019-08-22 00:00:00,No Response,2019-10-01 00:00:00,משרד הפנים,2020-01-12 07:43:33,Justified,103.0,Treatment Completed,Unspecified,Unspecified,2019,10,40,1
