_id,מספר התלונה,תאריך הגשת הבקשה למידע,תאריך קבלת תלונה,ערוץ קבלת תלונה,סוג המתלונן,שם המתלונן,נושא התלונה,שם הנילון,נושא בקשת חופש מידע,סטטוס,החלטה,תאריך סיום טיפול,מספר ימי טיפול
59, 315/22,2022-06-27 00:00:00,2022-07-28 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,אי קבלת מענה לפנייה 645414,סיום טיפול,בלתי מוצדק,10/08/2022,13
60, 328/22,2022-04-04 00:00:00,2022-06-08 00:00:00,דואר אלקטרוני,אזרח,,חוסר בהנמקה,משרד הבינוי והשיכון,קבלת מסמכים לפרויקט מחיר למשתכן שבירו רמת גן,סיום טיפול,מוצדק,24/01/2024,535
61, 383/22,2022-02-21 00:00:00,2022-11-09 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,פרוטוקולים - תחנה מרכזית תל אביב,סיום טיפול,מוצדק,12/07/2023,304
62, 467/22,2022-12-08 00:00:00,2022-04-12 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,נתוני זיהום אוויר חברת קארדאטא בקשת מידע מס' 336640,סיום טיפול,מוצדק,09/03/2023,94
63, 17/23,2022-09-20 00:00:00,2023-10-01 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד ההתיישבות,תמיכה בגרעיני משימה,סיום טיפול,מוצדק,19/02/2023,39
64, 18/23,2022-08-15 00:00:00,2023-10-01 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד החינוך,בקשת מידע על ערך הנקודה במספר תקנות,סיום טיפול,מוצדק,09/02/2023,29
65, 128/23,2023-01-19 00:00:00,2023-03-27 00:00:00,דואר אלקטרוני,אזרח,,חוסר בהנמקה,משרד הכלכלה,מפת חלוקת קרקעות הודיה,סיום טיפול,בלתי מוצדק,20/04/2023,23
66, 156/23,2023-06-03 00:00:00,2023-03-05 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,"צהל""",אסמכתאות לקיום הכרזה כשטח אש,סיום טיפול,מוצדק,24/05/2023,21
67, 250/23,2020-11-15 00:00:00,2023-06-19 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,מטרדי ריח,סיום טיפול,מוצדק,08/08/2023,42
68, 314/23,2023-10-03 00:00:00,2023-06-08 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,הנחיות המשרד,סיום טיפול,מוצדק חלקית,24/01/2024,169
69, 270/23,2022-06-19 00:00:00,2023-10-07 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,"תנאי מכרז קול הבריאות""""",סיום טיפול,מוצדק,10/08/2023,29
70, 408/23,2022-03-08 00:00:00,2023-11-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,תקציבי פרסום,סיום טיפול,מוצדק,10/01/2024,120
71, 409/23,2023-02-20 00:00:00,2023-11-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,שיתוק רפה חד,סיום טיפול,מוצדק,10/01/2024,120
72, 410/23,2022-09-28 00:00:00,2023-11-09 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מסקנות ועדה,סיום טיפול,מוצדק,10/01/2024,120
73, 183/23,2023-03-23 00:00:00,2023-08-05 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,"רשות שוק ההון, הביטוח והחיסכון",חוזרי המפקח על הביטוח,סיום טיפול,מוצדק,13/06/2023,33
74, 413/23,2023-01-29 00:00:00,2023-07-25 00:00:00,טופס מקוון,עמותה,קו לעובד,אי מתן מענה,משרד העבודה,פעולות אכיפה של מינהל הבטיחות,סיום טיפול,מוצדק,08/04/2024,209
75, 25/24,2023-07-30 00:00:00,2024-01-23 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד החינוך,"החלת אופק חדש על החינוך המוכשר""",סיום טיפול,מוצדק,26/02/2024,33
76, 98/24,2023-07-17 00:00:00,2024-03-17 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד העבודה,מפעילי עגורן צריח - מנופאים,סיום טיפול,בלתי מוצדק,09/05/2024,52
77, 100/24,2024-02-20 00:00:00,2024-03-20 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הפנים,תיקי פיקוח,סיום טיפול,בלתי מוצדק,20/03/2024,0
78, 122/24,2024-08-02 00:00:00,2024-11-04 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""","גיוס מלשביות וועדות ערר""",סיום טיפול,מוצדק,20/06/2024,66
79, 172/23,2023-02-14 00:00:00,2023-09-05 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,הרשות הארצית לכבאות והצלה,שריפות פסולת,סיום טיפול,מוצדק,31/05/2023,22
80, 362/22,2022-01-20 00:00:00,2022-08-25 00:00:00,דואר אלקטרוני,עמותה,המכון הישראלי לדמוקרטיה,אי מתן מענה,משרד ראש הממשלה,נתונים על פעילות מערך הגיור,סיום טיפול,מוצדק,14/09/2022,20
81, 272/22,2022-10-04 00:00:00,2022-06-20 00:00:00,דואר אלקטרוני,חברה,,אי מתן מענה,משרד העבודה,מפקחי עבודה פעילים ותאריכי הסמכה,סיום טיפול,מוצדק,01/08/2022,42
82, 251/22,2022-04-26 00:00:00,2022-01-06 00:00:00,דואר אלקטרוני,אזרח,,חוסר בהנמקה,משטרת ישראל,תלונות שהוגשו על ידי עיריית נס ציונה על אי שליחת ילדים למסגרת חינוכית,סיום טיפול,בלתי מוצדק,13/06/2022,4
83, 250/22,2022-03-02 00:00:00,2022-07-06 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,"דוח הוועדה בנושא גזענות, אפליה והדרה במערכת הבריאות",סיום טיפול,מוצדק,01/08/2022,53
84, 24/22,2021-07-11 00:00:00,2022-01-20 00:00:00,טופס מקוון,עמותה,תחרות - התנועה לחירות בתעסוקה,אי מתן מענה,משרד החינוך,תקצוב ארגוני המורים,סיום טיפול,מוצדק,14/02/2022,25
85, 234/22,2022-06-02 00:00:00,2022-05-31 00:00:00,טופס מקוון,עמותה,המכון הישראלי לדמוקרטיה,אי מתן מענה,משרד העבודה,אכיפת איסור העסקה ביום המנוחה,סיום טיפול,מוצדק,19/07/2022,49
86, 205/22,2022-12-01 00:00:00,2022-11-05 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד המשפטים,מידע לעניין נזקי גוף משטרת ישראל,סיום טיפול,בלתי מוצדק,23/05/2022,11
87, 407/23,2022-12-25 00:00:00,2023-12-09 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד החקלאות ופיתוח הכפר,תקציבי פרסום,סיום טיפול,מוצדק,29/02/2024,170
88, 77/23,2022-08-31 00:00:00,2023-02-03 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,ציוני בגרות,סיום טיפול,מוצדק,29/03/2023,27
89, 567/21,2021-08-26 00:00:00,2021-10-31 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,רשות המסים בישראל,שאלות בנושא רשימון ייצוא מרוכז,סיום טיפול,בלתי מוצדק,07/11/2021,7
90, 213/22,2022-02-22 00:00:00,2022-05-16 00:00:00,טופס מקוון,עמותה,נושמים נקי,אי מתן מענה,משרד הבריאות,מס' פניה 651507,סיום טיפול,מוצדק,07/06/2022,22
91, 233/22,2021-12-22 00:00:00,2022-05-30 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,מידע על אתר פסולת פיראטי,סיום טיפול,מוצדק,12/07/2022,43
92, 255/23,2022-07-11 00:00:00,2023-01-07 00:00:00,טופס מקוון,עמותה,אזרחים למען אוויר נקי,אי מתן מענה,מנהל אזרחי אזור יהודה ושומרון,שריפות פסולת ואכיפה סביבתית,סיום טיפול,מוצדק,11/09/2023,72
93, 298/22,2022-03-31 00:00:00,2022-12-07 00:00:00,דואר אלקטרוני,אזרח,,חוסר בהנמקה,רשות המסים בישראל,עסקת הפקעת מקרקעין - מתחם פיכמן חולון,סיום טיפול,בלתי מוצדק,11/08/2022,24
94, 70/24,2023-09-08 00:00:00,2024-03-03 00:00:00,טופס מקוון,עמותה,קו לעובד,אי מתן מענה,משרד הבריאות,העתק הסכם משרד הבריאות,סיום טיפול,מוצדק,18/04/2024,46
95, 635/21,2021-10-26 00:00:00,2021-12-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,אי מתן מענה לפנייה דרך חוק חופש המידע,סיום טיפול,מוצדק,09/02/2022,44
96, 307/22,2022-06-20 00:00:00,2022-07-21 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד החינוך,אופן החלת חוק חינוך חובה וחינם,סיום טיפול,מוצדק,14/09/2022,55
97, 495/23,2022-12-25 00:00:00,2023-12-14 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד החקלאות ופיתוח הכפר,פרסום מזון וצער בעלי חיים,סיום טיפול,מוצדק,18/03/2024,95
98, 22/22,2021-09-30 00:00:00,2022-01-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,כמות ניפוקי קנאביס רפואי בפועל,סיום טיפול,מוצדק,26/05/2022,127
99, 496/22,2022-02-10 00:00:00,2022-12-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,שירות בתי הסוהר,בקשת מידע,סיום טיפול,בלתי מוצדק,28/12/2022,5
100, 377/22,2022-05-30 00:00:00,2022-06-09 00:00:00,דואר אלקטרוני,אזרח,,חוסר בהנמקה,משרד החוץ,פרוטוקול ישיבה מ02/2022,סיום טיפול,בלתי מוצדק,04/05/2023,240
101, 329/22,2021-06-20 00:00:00,2022-09-08 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד המשפטים,"מסמכים שונים -יועמש""",סיום טיפול,מוצדק,31/12/2023,509
102, 114/24,2024-01-17 00:00:00,2024-10-04 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,"צהל""","כלבי שירות בצהל""",סיום טיפול,מוצדק,06/06/2024,57
103, 254/22,2022-01-27 00:00:00,2022-12-06 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,מנהל אזרחי אזור יהודה ושומרון,צו 348: הנחיות מנהליות ומידע,סיום טיפול,מוצדק,18/07/2022,36
104, 92/24,2024-04-02 00:00:00,2024-03-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,ביצוע בפועל של קווים שונים 2022-2023,סיום טיפול,מוצדק,26/06/2024,105
105, 363/22,2022-05-29 00:00:00,2022-08-27 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"קבלת דוח מומחה חיצוני""",סיום טיפול,מוצדק,04/05/2023,251
106, 304/22,2022-05-07 00:00:00,2022-07-20 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד העבודה,מידע על צהרונים ופרטי קשר,סיום טיפול,בלתי מוצדק,01/08/2022,12
107, 323/23,2023-12-03 00:00:00,2023-11-08 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,נוהל המלצות להעסקת עובדים פלסטינים,סיום טיפול,מוצדק,31/08/2023,20
108, 131/23,2023-01-30 00:00:00,2023-03-29 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,פיקוח השירות הוטרינרי על אוניות המשמשות להובלת מקנה,סיום טיפול,מוצדק,24/08/2023,148
109, 188/23,2022-12-22 00:00:00,2023-05-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מידע בדבר פעילות לאכיפת נוהל השתתפות סטודנטים ,סיום טיפול,מוצדק,25/07/2023,72
110, 296/23,2023-04-20 00:00:00,2023-07-27 00:00:00,טופס מקוון,עמותה,מגן ביטחון,אי מתן מענה,"צהל""","פרישה ושחרור מצהל נוכח נסיבות רפואיות""",סיום טיפול,מוצדק,21/09/2023,56
111, 48/23,2023-06-01 00:00:00,2023-09-02 00:00:00,דואר אלקטרוני,עמותה,מגן ביטחון,אי מתן מענה,משרד האוצר,פגישות נציגי משרד האוצר עם נציגי משרד הביטחון בנושא הפנסיה הצוברת של משרתי הקבע,סיום טיפול,בלתי מוצדק,08/06/2023,119
112, 150/23,2023-09-03 00:00:00,2023-04-27 00:00:00,דואר אלקטרוני,עמותה,"אלוט""",אי מתן מענה,משרד החינוך,הרחקות של תלמידים עם אוטיזם ממסגרות החינוך,סיום טיפול,מוצדק,07/06/2023,41
113, 201/23,2022-12-21 00:00:00,2023-05-23 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,השמדות קנאביס רפואי,סיום טיפול,מוצדק,04/09/2023,103
114, 202/23,2023-01-15 00:00:00,2023-05-23 00:00:00,דואר אלקטרוני,אזרח,,אי מתן מענה,משרד הבריאות,רישיונות קונסטרוקטיביים + יבוא ויצוא,סיום טיפול,מוצדק,04/09/2023,103
115, 99/22,2021-10-20 00:00:00,2022-03-13 00:00:00,טופס מקוון,עמותה,תנו לחיות לחיות,אי מתן מענה,משרד החקלאות ופיתוח הכפר,היתרי מופעים עם בעלי חיים,סיום טיפול,מוצדק,30/05/2022,78
